NODAL DISPLACEMENTS
--------------------------------
Project: dummy_example,
Config: E=33keV, Theta=0.363deg

Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
  -140.000000000,     0.550000000,     0.000000000,-0.253519338E-01,-0.428607894E-03, 0.520039094E-02
  -140.000000000,    -0.000000000,     0.000000000,-0.253584522E-01,-0.505387835E-03, 0.520256682E-02
  -140.000000000,    -0.550000000,     0.000000000,-0.253606326E-01,-0.581970746E-03, 0.519697049E-02
   140.000000000,     0.000000000,    -0.000000000, 0.734806790E-02,-0.555672868E-03, 0.519766732E-02
   140.000000000,     0.550000000,    -0.000000000, 0.734282340E-02,-0.479280532E-03, 0.519650302E-02
   140.000000000,    -0.550000000,    -0.000000000, 0.735054428E-02,-0.631287541E-03, 0.519330031E-02
   139.436589400,    -0.274998030,    -0.000000000, 0.728974494E-02,-0.600402827E-03, 0.521847924E-02
   138.911188400,    -0.274996193,    -0.000000000, 0.723118310E-02,-0.606377286E-03, 0.523507467E-02
   138.390324100,    -0.274994372,    -0.000000000, 0.717342199E-02,-0.612204067E-03, 0.524922746E-02
   137.864936000,    -0.274992536,    -0.000000000, 0.711549860E-02,-0.617998432E-03, 0.526221775E-02
   137.329387700,    -0.274990664,    -0.000000000, 0.705668532E-02,-0.623803902E-03, 0.527446312E-02
   136.778142000,    -0.274988736,    -0.000000000, 0.699638697E-02,-0.629843880E-03, 0.528626790E-02
   136.208670100,    -0.274986745,    -0.000000000, 0.693427671E-02,-0.635957164E-03, 0.529797792E-02
   135.623988300,    -0.274984701,    -0.000000000, 0.687067535E-02,-0.642393053E-03, 0.530938410E-02
   135.032189700,    -0.274982632,    -0.000000000, 0.680644710E-02,-0.648833314E-03, 0.532047543E-02
   134.440342000,    -0.274980563,    -0.000000000, 0.674238518E-02,-0.655399328E-03, 0.533120111E-02
   133.848494400,    -0.274978494,    -0.000000000, 0.667841317E-02,-0.661873850E-03, 0.534161339E-02
   133.256646800,    -0.274976425,    -0.000000000, 0.661455260E-02,-0.668489105E-03, 0.535184081E-02
   132.664799200,    -0.274974356,    -0.000000000, 0.655079869E-02,-0.675026892E-03, 0.536179960E-02
   132.072951600,    -0.274972287,    -0.000000000, 0.648713763E-02,-0.681646172E-03, 0.537156162E-02
   131.481104100,    -0.274970218,    -0.000000000, 0.642350371E-02,-0.688247221E-03, 0.538120567E-02
   130.889256600,    -0.274968149,    -0.000000000, 0.635992942E-02,-0.694919754E-03, 0.539069780E-02
   130.297409200,    -0.274966080,    -0.000000000, 0.629643778E-02,-0.701535049E-03, 0.540011164E-02
   129.705561800,    -0.274964010,    -0.000000000, 0.623298414E-02,-0.708162237E-03, 0.540948322E-02
   129.113714400,    -0.274961941,    -0.000000000, 0.616955190E-02,-0.714829372E-03, 0.541871356E-02
   128.521867000,    -0.274959872,    -0.000000000, 0.610609904E-02,-0.721514560E-03, 0.542791157E-02
   127.930019700,    -0.274957803,    -0.000000000, 0.604273730E-02,-0.728085250E-03, 0.543708554E-02
   127.338172400,    -0.274955734,    -0.000000000, 0.597934010E-02,-0.734827934E-03, 0.544625103E-02
   126.746325200,    -0.274953665,    -0.000000000, 0.591592245E-02,-0.741300263E-03, 0.545542418E-02
   126.154478000,    -0.274951596,    -0.000000000, 0.585254133E-02,-0.747862024E-03, 0.546460307E-02
   125.562630800,    -0.274949526,    -0.000000000, 0.578905750E-02,-0.754452247E-03, 0.547376612E-02
   124.970783600,    -0.274947457,    -0.000000000, 0.572563017E-02,-0.761117699E-03, 0.548290402E-02
   124.378936500,    -0.274945388,    -0.000000000, 0.566207668E-02,-0.767597915E-03, 0.549208883E-02
   123.787089400,    -0.274943319,    -0.000000000, 0.559856969E-02,-0.774055429E-03, 0.550140015E-02
   123.195242400,    -0.274941250,    -0.000000000, 0.553492867E-02,-0.780570277E-03, 0.551063028E-02
   122.603395400,    -0.274939181,    -0.000000000, 0.547126510E-02,-0.786936244E-03, 0.551999566E-02
   122.011548400,    -0.274937112,    -0.000000000, 0.540752199E-02,-0.793368327E-03, 0.552938787E-02
   121.419701400,    -0.274935043,    -0.000000000, 0.534371957E-02,-0.799770776E-03, 0.553878098E-02
   120.827854500,    -0.274932974,    -0.000000000, 0.527981232E-02,-0.806108998E-03, 0.554832994E-02
   120.236007600,    -0.274930905,    -0.000000000, 0.521582411E-02,-0.812245811E-03, 0.555782875E-02
   119.644160800,    -0.274928835,    -0.000000000, 0.515175125E-02,-0.818633998E-03, 0.556747409E-02
   119.052314000,    -0.274926766,    -0.000000000, 0.508757066E-02,-0.824859542E-03, 0.557721336E-02
   118.460467200,    -0.274924697,    -0.000000000, 0.502323646E-02,-0.830899404E-03, 0.558700188E-02
